Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Year,Month,Has_Dividend,Has_Split,fund_total_revenue,fund_net_income,fund_total_debt,fund_stockholders_equity
2024-03-15,199.8949013467589,201.94196657968763,199.35425188076877,200.60943415950885,94127407,0.0,0.0,2024,3,0,0,391035000000.0,93736000000.0,106629000000.0,56950000000.0
2024-03-18,196.86431403598954,199.3801465253838,195.97458084412344,198.52946594702786,40344462,0.0,0.0,2024,3,0,0,391035000000.0,93736000000.0,106629000000.0,56950000000.0
2024-03-19,199.23306199782144,201.00087718044585,198.18574866230796,200.03036833864078,85693388,0.0,0.0,2024,3,0,0,391035000000.0,93736000000.0,106629000000.0,56950000000.0
2024-03-20,200.0455404307269,202.39395983952446,199.85302953543976,201.91149777142323,69079636,0.0,0.0,2024,3,0,0,391035000000.0,93736000000.0,106629000000.0,56950000000.0
2024-03-21,196.5250238351243,198.18015496903635,196.42352938409246,198.00942739411553,119526221,0.0,0.0,2024,3,0,0,391035000000.0,93736000000.0,106629000000.0,56950000000.0
2024-03-22,194.85082431464886,196.33746303283812,194.4536363202718,195.4050683803909,110636874,0.0,0.0,2024,3,0,0,391035000000.0,93736000000.0,106629000000.0,56950000000.0
2024-03-25,195.15260443553242,196.17340645720932,193.80028833872612,195.66074918672547,43091544,0.0,0.0,2024,3,0,0,391035000000.0,93736000000.0,106629000000.0,56950000000.0
2024-03-26,194.4507771265167,196.05733346736278,193.4459700579967,195.0282640020383,56706851,0.0,0.0,2024,3,0,0,391035000000.0,93736000000.0,106629000000.0,56950000000.0
2024-03-27,193.58577392055815,196.2654049346094,193.24502942784633,194.99466168702975,56639845,0.0,0.0,2024,3,0,0,391035000000.0,93736000000.0,106629000000.0,56950000000.0
2024-03-28,191.58635111559343,193.41399859336266,190.23998156904037,193.28857383188256,111804710,0.0,0.0,2024,3,0,0,391035000000.0,93736000000.0,106629000000.0,56950000000.0
2024-03-29,194.18954055066715,195.98136906616827,193.43160223426486,195.04736978160824,81513171,0.0,0.0,2024,3,0,0,391035000000.0,93736000000.0,106629000000.0,56950000000.0
2024-04-01,194.82884038808152,197.02674640802772,194.0623119287314,196.6029536524661,98309975,0.0,0.0,2024,4,0,0,391035000000.0,93736000000.0,106629000000.0,56950000000.0
2024-04-02,196.14916713735866,198.05845894465386,194.73940841597894,196.73501504758855,104795258,0.0,0.0,2024,4,0,0,391035000000.0,93736000000.0,106629000000.0,56950000000.0
2024-04-03,197.28805168106211,199.44462777071118,197.10477031200543,198.98949746152462,101409584,0.0,0.0,2024,4,0,0,391035000000.0,93736000000.0,106629000000.0,56950000000.0
2024-04-04,198.0328230007703,200.8795943325583,197.63157341629008,199.9245161460287,47123360,0.0,0.0,2024,4,0,0,391035000000.0,93736000000.0,106629000000.0,56950000000.0
2024-04-05,196.54776862160568,199.0808883963877,195.62768876638907,198.20593122026224,51226792,0.0,0.0,2024,4,0,0,391035000000.0,93736000000.0,106629000000.0,56950000000.0
2024-04-08,197.39625161245928,199.59806588851018,197.02257049904446,198.94343278842723,71618772,0.0,0.0,2024,4,0,0,391035000000.0,93736000000.0,106629000000.0,56950000000.0
2024-04-09,195.26869725878615,198.07433665580893,194.2173594458936,197.02566758676923,67070253,0.0,0.0,2024,4,0,0,391035000000.0,93736000000.0,106629000000.0,56950000000.0
2024-04-10,198.2223412400632,199.8986456779854,197.8226120349918,198.7825681893838,99766064,0.0,0.0,2024,4,0,0,391035000000.0,93736000000.0,106629000000.0,56950000000.0
